entry_id,character,modern_reading,mc_form,mc_onset,mc_onset_group,mc_rhyme,mc_rhyme_group,mc_annotation,oc_form_raw,oc_form_clean,gloss,source_ref,pdf_page,raw_text
0008e,和,hé,hwa,h,匣,-wa,戈,h- + -wa A,*[ɢ]ˤoj,ɢˤoj,"harmonious10602.01305U+548C
yí(y- + -je A)*laj chídrje(dr- + -je A)*Cəә.lraj chídrje(dr- + -je A)chísyeX(sy- + -je B)*l̥ajʔ dìdijH(d- + -ij C)*[l]ˤej-s tha(th- + -a A)*l̥ˤaj (E dialect: *l̥ˤ- > MC th-) tuōtha(th- + -a A)*l̥ˤaj (y- + -je B)*lajʔ shīsye(sy- + -je A)*l̥aj zuǒtsaX*tsˤa[j]ʔ zuǒtsaX*tsˤa[j]ʔ zuǒtsaH*tsˤarʔ-s zuǒtsaH*tsˤarʔ-s (dialect: *-r > *-j)tsrhae(tsrh- + -ae A)*tsʰraj tsrhea(tsrh- + -ea A)*[tsʰ]raj tsrheaj(tsrh- + -eaj A)*[tsʰ](ˤ)raj tsrhje(tsrh- + -je A)*tsʰraj 參差 uneventsha(tsh- + -a A)*[tsʰ]ˤaj chádzrae(dzr- + -ae A)chádzraeX(dzr- + -ae B)tshaX(tsh- + -a B)*tsʰˤarʔ tsha(tsh- + -a A)*[tsʰ]ˤaj a kind of net (on a handle?)(Shuōwén: 'bird net')",,5,"0008e和héhwa(h- + -wa A)*[ɢ]ˤoj harmonious10602.01305U+548C
yí(y- + -je A)*laj chídrje(dr- + -je A)*Cəә.lraj chídrje(dr- + -je A)chísyeX(sy- + -je B)*l̥ajʔ dìdijH(d- + -ij C)*[l]ˤej-s tha(th- + -a A)*l̥ˤaj (E dialect: *l̥ˤ- > MC th-) tuōtha(th- + -a A)*l̥ˤaj (y- + -je B)*lajʔ shīsye(sy- + -je A)*l̥aj zuǒtsaX*tsˤa[j]ʔ zuǒtsaX*tsˤa[j]ʔ zuǒtsaH*tsˤarʔ-s zuǒtsaH*tsˤarʔ-s (dialect: *-r > *-j)tsrhae(tsrh- + -ae A)*tsʰraj tsrhea(tsrh- + -ea A)*[tsʰ]raj tsrheaj(tsrh- + -eaj A)*[tsʰ](ˤ)raj tsrhje(tsrh- + -je A)*tsʰraj 參差 uneventsha(tsh- + -a A)*[tsʰ]ˤaj chádzrae(dzr- + -ae A)chádzraeX(dzr- + -ae B)tshaX(tsh- + -a B)*tsʰˤarʔ tsha(tsh- + -a A)*[tsʰ]ˤaj a kind of net (on a handle?)(Shuōwén: 'bird net')"
0008e,和,hè,hwa,h,匣,-wa,戈,h- + -wa C,*[ɢ]ˤoj-s,ɢˤoj-s,,10602.01305U+548C,6,0008e和hèhwaH(h- + -wa C)*[ɢ]ˤoj-s 10602.01305U+548C
0009a,臥,wò,ngwa,ng,疑,-wa,戈,ng- + -wa C,*[ŋ]ˤ[o]j-s,ŋˤoj-s,"lie down, sleep",42801.031312U+81E5,6,"0009a臥wòngwaH(ng- + -wa C)*[ŋ]ˤ[o]j-s lie down, sleep42801.031312U+81E5"
0011a,隓,huī,dwa,d,定,-wa,戈,d- + -wa B,*lˤojʔ,lˤojʔ,destroy,64150.0117010U+9693,6,0011a隓huīdwaX(d- + -wa B)*lˤojʔ destroy64150.0117010U+9693
0011b,隋,huì,xjwie,x,曉,-jwie,支 (IV),x- + -jwie C,*l̥oj-s,l̥oj-s,(W. dialect: *l̥- > x-)shred sacrificial meat,64142.161709U+968B,6,0011b隋huìxjwieH(x- + -jwie C)*l̥oj-s (W. dialect: *l̥- > x-)shred sacrificial meat64142.161709U+968B
0011b,隋,suí,dwa,d,定,-wa,戈,d- + -wa B,*lˤojʔ,lˤojʔ,to fall,64142.161709U+968B,6,0011b隋suídwaX(d- + -wa B)*lˤojʔ to fall64142.161709U+968B
0011b,隋,suí,dwa,d,定,-wa,戈,d- + -wa B,*lˤojʔ,lˤojʔ,to fall,64142.161709U+968B,6,0011b隋suídwaX(d- + -wa B)*lˤojʔ to fall64142.161709U+968B
0011b,隋,suí,zjwe,z,邪,-jwe,支 (III),z- + -jwe A,*sə.loj,sə.loj,(place name),64142.161709U+968B,6,0011b隋suízjwe(z- + -jwe A)*səә.loj (place name)64142.161709U+968B
0011b,隋,suì,sjwe,s,心,-jwe,支 (III),s- + -jwe C,*s-loj-s,s-loj-s,shred sacrificial meat,64142.161709U+968B,6,0011b隋suìsjweH(s- + -jwe C)*s-loj-s shred sacrificial meat64142.161709U+968B
0011b,隋,tuǒ,thwa,th,透,-wa,戈,th- + -wa B,*l̥ˤojʔ,l̥ˤojʔ,shred sacrificial meat,64142.161709U+968B,6,0011b隋tuǒthwaX(th- + -wa B)*l̥ˤojʔ shred sacrificial meat64142.161709U+968B
0011c,橢,tuǒ,thwa,th,透,-wa,戈,th- + -wa B,*l̥ˤojʔ,l̥ˤojʔ,oval,21285.077512U+6A62,6,0011c橢tuǒthwaX(th- + -wa B)*l̥ˤojʔ oval21285.077512U+6A62
0011e,墮,duò,dwa,d,定,-wa,戈,d- + -wa B,*lˤojʔ,lˤojʔ,to fall,10484.033212U+58AE,6,0011e墮duòdwaX(d- + -wa B)*lˤojʔ to fall10484.033212U+58AE
0011e,墮,huī,xjwie,x,曉,-jwie,支 (IV),x- + -jwie A,*l̥oj,l̥oj,(W. dialect: *l̥- > x-)destroy,10484.033212U+58AE,6,0011e墮huīxjwie(x- + -jwie A)*l̥oj (W. dialect: *l̥- > x-)destroy10484.033212U+58AE
0011f,隳,huī,xjwie,x,曉,-jwie,支 (IV),x- + -jwie A,*l̥oj,l̥oj,destroy,64164.0217015U+96B3,6,0011f隳huīxjwie(x- + -jwie A)*l̥oj destroy64164.0217015U+96B3
0011g,隨,suí,zjwe,z,邪,-jwe,支 (III),z- + -jwe A,*sə.loj,sə.loj,follow,64156.1717013U+96A8,6,0011g隨suízjwe(z- + -jwe A)*səә.loj follow64156.1717013U+96A8
0011h,髓,suǐ,sjwe,s,心,-jwe,支 (III),s- + -jwe B,*s-lojʔ,s-lojʔ,marrow,74418.0418813U+9AD3,6,0011h髓suǐsjweX(s- + -jwe B)*s-lojʔ marrow74418.0418813U+9AD3
0011i,瀡,suǐ,sjwe,s,心,-jwe,支 (III),s- + -jwe C,*s-loj-s,s-loj-s,slippery,31774.088516U+7021,6,0011i瀡suǐsjweH(s- + -jwe C)*s-loj-s slippery31774.088516U+7021
0011l,惰,duò,dwa,d,定,-wa,戈,d- + -wa B,*lˤojʔ,lˤojʔ,lazy,42326.11619U+60F0,6,0011l惰duòdwaX(d- + -wa B)*lˤojʔ lazy42326.11619U+60F0
0012-,座,zuò,dzwa,dz,從,-wa,戈,dz- + -wa C,*[dz]ˤo[j]ʔ-s,dzˤojʔ-s,seat n.,20886.03537U+5EA7,6,0012-座zuòdzwaH(dz- + -wa C)*[dz]ˤo[j]ʔ-s seat n.20886.03537U+5EA7
0012a,坐,zuò,dzwa,dz,從,-wa,戈,dz- + -wa B,*[dz]ˤo[j]ʔ,dzˤojʔ,sit,10423.12324U+5750,6,0012a坐zuòdzwaX(dz- + -wa B)*[dz]ˤo[j]ʔ sit10423.12324U+5750
0012a,坐,zuò,dzwa,dz,從,-wa,戈,dz- + -wa B,*m-[dz]ˤo[j]ʔ,m-dzˤojʔ,to set,10423.12324U+5750,6,0012a坐zuòdzwaX(dz- + -wa B)*m-[dz]ˤo[j]ʔ to set10423.12324U+5750
0012a,坐,zuò,dzwa,dz,從,-wa,戈,dz- + -wa C,*[dz]ˤo[j]ʔ-s,dzˤojʔ-s,seat n.,10423.12324U+5750,6,0012a坐zuòdzwaH(dz- + -wa C)*[dz]ˤo[j]ʔ-s seat n.10423.12324U+5750
0012e,剉,cuò,tshwa,tsh,清,-wa,戈,tsh- + -wa C,*[tsʰ]ˤoj-s,tsʰˤoj-s,cut,10342.09187U+5249,6,0012e剉cuòtshwaH(tsh- + -wa C)*[tsʰ]ˤoj-s cut10342.09187U+5249
0012f,脞,cuǒ,tshwa,tsh,清,-wa,戈,tsh- + -wa B,*tsʰˤojʔ,tsʰˤojʔ,"frivolous, trifling",32078.191307U+811E,6,"0012f脞cuǒtshwaX(tsh- + -wa B)*tsʰˤojʔ frivolous, trifling32078.191307U+811E"
0012g,髽,zhuā,tsrwae,tsr,莊,-wae,麻,tsr- + -wae A,*[ts]ˤroj,tsˤroj,hair knot for mourning,74526.081907U+9AFD,6,0012g髽zhuātsrwae(tsr- + -wae A)*[ts]ˤroj hair knot for mourning74526.081907U+9AFD
0013-,鎖,suǒ,swa,s,心,-wa,戈,s- + -wa B,*[s]ˤojʔ,sˤojʔ,chain,64240.0616710U+9396,6,0013-鎖suǒswaX(s- + -wa B)*[s]ˤojʔ chain64240.0616710U+9396
0013b,瑣,suǒ,swa,s,心,-wa,戈,s- + -wa B,*[s]ˤojʔ,sˤojʔ,chain,21130.159610U+7463,6,0013b瑣suǒswaX(s- + -wa B)*[s]ˤojʔ chain21130.159610U+7463
0013b,瑣,suǒ,swa,s,心,-wa,戈,s- + -wa B,*[s]ˤojʔ,sˤojʔ,"small, fragment",21130.159610U+7463,6,"0013b瑣suǒswaX(s- + -wa B)*[s]ˤojʔ small, fragment21130.159610U+7463"
0014c,羸,léi,ljwe,l,來,-jwe,支 (III),l- + -jwe A,*[r]o[j],roj,emaciated; weak,32122.1912313U+7FB8,6,0014c羸léiljwe(l- + -jwe A)*[r]o[j] emaciated; weak32122.1912313U+7FB8
0014c,羸,léi,ljwe,l,來,-jwe,支 (III),l- + -jwe A,*[r]o[j],roj,"entangle32122.1912313U+7FB8
tune (instruments); respond insinging
*rˤorʔ (*kˤorʔ.rˤorʔ, redup.infixation < *kˤorʔ ?)蜾蠃 kwaX.lwaX a kind of wasp",,6,"0014c羸léiljwe(l- + -jwe A)*[r]o[j] entangle32122.1912313U+7FB8
tune (instruments); respond insinging
*rˤorʔ (*kˤorʔ.rˤorʔ, redup.infixation < *kˤorʔ ?)蜾蠃 kwaX.lwaX a kind of wasp"
0015a,加,jiā,kae,k,見,-ae,麻,k- + -ae A,*kˤraj,kˤraj,add,10366.01193U+52A0,7,0015a加jiākae(k- + -ae A)*kˤraj add10366.01193U+52A0
0015e,駕,jià,kae,k,見,-ae,麻,k- + -ae C,*kˤraj-s,kˤraj-s,hitch horses to a chariot,74550.091875U+99D5,7,0015e駕jiàkaeH(k- + -ae C)*kˤraj-s hitch horses to a chariot74550.091875U+99D5
0015g,嘉,jiā,kae,k,見,-ae,麻,k- + -ae A,*kˤ<r>aj,kˤraj,excellent,10672.113011U+5609,7,0015g嘉jiākae(k- + -ae A)*kˤ<r>aj excellent10672.113011U+5609
0015j,賀,hè,ha,h,匣,-a,歌,h- + -a C,*m-kˤaj-s,m-kˤaj-s,congratulate,63636.041545U+8CC0,7,0015j賀hèhaH(h- + -a C)*m-kˤaj-s congratulate63636.041545U+8CC0
0016a,沙,shā,srae,sr,生,-ae,麻,sr- + -ae A,*sˤraj,sˤraj,sand,31562.09854U+6C99,7,0016a沙shāsrae(sr- + -ae A)*sˤraj sand31562.09854U+6C99
0016e,娑,suō,sa,s,心,-a,歌,s- + -a A,*[s]ˤa[j],sˤaj,,21054.01387U+5A11,7,0016e娑suōsa(s- + -a A)*[s]ˤa[j] 21054.01387U+5A11
0017a,麻,má,mae,m,明,-ae,麻,m- + -ae A,*C.mˤraj,C.mˤraj,hemp,74723.012000U+9EBB,7,0017a麻mámae(m- + -ae A)*C.mˤraj hemp74723.012000U+9EBB
0017c,塺,mò,ma,m,明,-a,歌,m- + -a C,*mˤaj-s,mˤaj-s,dust,10481.123211U+587A,7,0017c塺mòmaH(m- + -a C)*mˤaj-s dust10481.123211U+587A
0017f,磨,mó,ma,m,明,-a,歌,m- + -a A,*mˤaj,mˤaj,"rub, grind",42453.1311211U+78E8,7,"0017f磨móma(m- + -a A)*mˤaj rub, grind42453.1311211U+78E8"
0017f,磨,mò,ma,m,明,-a,歌,m- + -a C,*mˤaj-s,mˤaj-s,grinding stone,42453.1311211U+78E8,7,0017f磨mòmaH(m- + -a C)*mˤaj-s grinding stone42453.1311211U+78E8
0017g,糜,mí,mje,m,明,-je,支 (III),m- + -je A,*C.m(r)aj,C.mraj,"rice gruel; destroy, crush",53159.0511911U+7CDC,7,"0017g糜mímje(m- + -je A)*C.m(r)aj rice gruel; destroy, crush53159.0511911U+7CDC"
0017h,靡,mí,mje,m,明,-je,支 (III),m- + -je A,*m(r)aj,mraj,to share with,64088.0517511U+9761,7,0017h靡mímje(m- + -je A)*m(r)aj to share with64088.0517511U+9761
0017h,靡,mǐ,mje,m,明,-je,支 (III),m- + -je B,*m(r)ajʔ,mrajʔ,squander,64088.0517511U+9761,7,0017h靡mǐmjeX(m- + -je B)*m(r)ajʔ squander64088.0517511U+9761
0017h,靡,mǐ,mje,m,明,-je,支 (III),m- + -je B,*m(r)ajʔ,mrajʔ,"not have, not exist",64088.0517511U+9761,7,"0017h靡mǐmjeX(m- + -je B)*m(r)ajʔ not have, not exist64088.0517511U+9761"
0017h,靡,mǐ,mje,m,明,-je,支 (III),m- + -je B,*m(r)ajʔ,mrajʔ,fall over,64088.0517511U+9761,7,0017h靡mǐmjeX(m- + -je B)*m(r)ajʔ fall over64088.0517511U+9761
0017h,靡,mǐ,mje,m,明,-je,支 (III),m- + -je B,*m(r)ajʔ,mrajʔ,"small, tiny",64088.0517511U+9761,7,"0017h靡mǐmjeX(m- + -je B)*m(r)ajʔ small, tiny64088.0517511U+9761"
0018a,冎,guǎ,kwae,k,見,-wae,麻,k- + -wae B,*kʷˤrajʔ,kʷˤrajʔ,cut meat from the bone,10100.05134U+518E,7,0018a冎guǎkwaeX(k- + -wae B)*kʷˤrajʔ cut meat from the bone10100.05134U+518E
0018a,咼,wāi,kwae,k,見,-wae,麻,k- + -wae B,*kʷˤrajʔ,kʷˤrajʔ,cut meat from the bone,10616.01306U+54BC,7,0018a咼wāikwaeX(k- + -wae B)*kʷˤrajʔ cut meat from the bone10616.01306U+54BC
0018b,騧,guā,kwae,k,見,-wae,麻,k- + -wae A,*[k]ˤroj,kˤroj,yellow horse with black mouth,74562.011879U+9A27,7,0018b騧guākwae(k- + -wae A)*[k]ˤroj yellow horse with black mouth 74562.011879U+9A27
0018c,蝸,wō,kwae,k,見,-wae,麻,k- + -wae A,*k.rˤoj,k.rˤoj,(dialect: *k.rˤ- > *kˤr-)snail,42862.141429U+8778,7,0018c蝸wōkwae(k- + -wae A)*k.rˤoj (dialect: *k.rˤ- > *kˤr-)snail42862.141429U+8778
0018e,過,guō,kwa,k,見,-wa,戈,k- + -wa A,*kʷˤaj,kʷˤaj,to pass,63849.081629U+904E,7,0018e過guōkwa(k- + -wa A)*kʷˤaj to pass63849.081629U+904E
0018e,過,guō,kwa,k,見,-wa,戈,k- + -wa A,*Cə.kʷˤaj,Cə.kʷˤaj,"tough, fibrous (vegetables)",63849.081629U+904E,7,"0018e過guōkwa(k- + -wa A)*Cəә.kʷˤaj tough, fibrous (vegetables)63849.081629U+904E"
0018e,過,guò,kwa,k,見,-wa,戈,k- + -wa C,*kʷˤaj-s,kʷˤaj-s,to pass; transgress,63849.081629U+904E,7,0018e過guòkwaH(k- + -wa C)*kʷˤaj-s to pass; transgress63849.081629U+904E
